path	side	git_blob	full_lines	sha256	read_coverage
src/bin/showcase/pages/chips.rs	H	ff38c12d7809eeb3fc6c560db12b3d53f9e09525	338	d9708d9a75278e55cdb4cd23455b9e0ef5f1742c029cdac8065dd3fd1d406af7	full;semantic-disposition-in-branch-diff-showcase.md
apps/showcase/src/pages/sidebars.rs	M	01f3695b46a3a7fcbd48fe7c46a967a47d4d7f4b	351	a44eec003179f2191ae56c582557887aff625846bd4cbf0fb6531bf22bac49bc	full;semantic-disposition-in-branch-diff-showcase.md
src/bin/showcase/pages/sidebars.rs	H	2e6d1f3b2330d191b77ace75d8610e671892d016	495	1f24aaa6b41dc11a759cceb9943f2c7216916ff430a2907f9675a342e1ba2013	full;semantic-disposition-in-branch-diff-showcase.md
apps/showcase/src/pages/dialogs.rs	M	94c157a3fa8b4d3cf7848190477407f85b99867b	287	859c93c2c893ec0cd8c05c35d7810ca36ebf4bf1f9151f9dcc6b612ab3db9fb2	full;semantic-disposition-in-branch-diff-showcase.md
src/bin/showcase/pages/dialogs.rs	H	b41585bcf0cbc3b48b7baeaad5b9a0dd612092c8	215	68977008f2d93fcc7330624e3e38d364bfd5e855e4a51f5ffc27181d53d28ea4	full;semantic-disposition-in-branch-diff-showcase.md
apps/showcase/src/pages/progress.rs	M	657761bbb2ab24d84809d8e43009e7ca450e0a01	327	8b94190e0585d429773a729c2ee3884b2c454d431595cb4ca335594eaf35f190	full;semantic-disposition-in-branch-diff-showcase.md
src/bin/showcase/pages/progress.rs	H	bd3aa36f2bd0ed1ae53097a3d6174456578c3bb5	247	a02044f1766f5f72373f4fb13ac992679743b6e3825779371eaec83efd36783a	full;semantic-disposition-in-branch-diff-showcase.md
apps/showcase/src/pages/scrolling.rs	M	9afd8883fcbfea33130c37002b139e0d35782702	422	d0c0096e9adb554374733b58240ffc146e56148e1745cead8787bcb93dd86b0e	full;semantic-disposition-in-branch-diff-showcase.md
src/bin/showcase/pages/scrolling.rs	H	6daf7186a5f5b8e62b77bdaa6937e7a0c8ae0ae6	201	55af421f38238188782119378378966d1d90f02f5b4b4c0e0678f3580ea76ece	full;semantic-disposition-in-branch-diff-showcase.md
apps/showcase/src/pages/chrome.rs	M	8c1116c04b3336318be38d6bb4657635e32fc295	455	c1a7706823761e65b6eb3089aceb53223f514cb7ffc27f15ac9ef04ca8edbf02	full;semantic-disposition-in-branch-diff-showcase.md
src/bin/showcase/pages/chrome.rs	H	e4832c0c2bdedcdca1ec215483420a89f553e6f5	370	3eac46a0af8b6d59ad3577fb14e42bbf04941b84ab1ec51a1bff3de31b232c2f	full;semantic-disposition-in-branch-diff-showcase.md
apps/showcase/src/pages/panels.rs	M	d18c927d2fbc4df9c43777a468c9d2e0877bf764	634	9bb1dd25c0d731db7dcbe6b23b6f262e2ca566b762f1589ea3df17e9e967d61b	full;semantic-disposition-in-branch-diff-showcase.md
