path	size	color	theme	bytes	sha256
shots/tablepro_paper_truecolor_100x30/png	100x30	truecolor	paper	59430	317b02ef1ed51740dcf6b9dd7c0e35bae9e5c2cefb0ddbc9da34f7a72b1d729b
shots/tablepro_junie_256_100x30/png	100x30	256	junie	55875	df7489fa49a69f6872c57c134c00b58ea30aac30892dbfcda344d51f03afeda1
shots/tablepro_paper_256_100x30/png	100x30	256	paper	56209	2ed9371f5825b87c9e47262d3cc0be87ccc1d7e3d04835584f01d3c0b6ac0605
shots/tablepro_junie_16_100x30/png	100x30	16	junie	50969	0500224e6ddcac140fa1a9b727ac64529c5abb77092250ac9a505a3053064e21
shots/tablepro_paper_16_100x30/png	100x30	16	paper	52325	049d7a8efecbcf1e13dc9c442d6a65191391eb71989ae090892c886d5c9d6328
shots/tablepro_junie_mono_100x30/png	100x30	mono	junie	43909	e2726603b2097b7db0b2afb41ee3b0f6ddb93dacf5264e0a1366e87584ea0ea2
shots/tablepro_paper_mono_100x30/png	100x30	mono	paper	44279	3851de3ba6a390b861e1e01e6a8b0b4107f39e513d63e0ff55d7a43cd2a97770
shots/tablepro_junie_truecolor_120x40/png	120x40	truecolor	junie	58263	27ea0a0d274f888fa92dfd5a53a25fb474d24d0b921e380499a2dea2bdedb44a
shots/tablepro_paper_truecolor_120x40/png	120x40	truecolor	paper	61852	dd1f466c12bc7fd709cd5d38f04a98a1e7e43272923fde107401ff9728c11953
shots/tablepro_junie_256_120x40/png	120x40	256	junie	58197	a63bd3a4bc898b6762ae83298d9d504c0e3eb4d8c60a4c36a36e94af1c57b033
shots/tablepro_paper_256_120x40/png	120x40	256	paper	58556	d7e387f5b9f126dcaebfcda431fa492540a51a3477ec577e399a449bdf3af85c
shots/tablepro_junie_16_120x40/png	120x40	16	junie	53088	66ca954cc88be9141df578a343c6eadf54d48d66f034aeaf91ec5cd04e3ca3d1
shots/tablepro_paper_16_120x40/png	120x40	16	paper	54605	74ff15a8050366c8895b5c8b92a5591739582bad9ea980688f63813694cc86a7
shots/tablepro_junie_mono_120x40/png	120x40	mono	junie	45894	18026ce2cd4f538b299d40d9756543d931ff8b9d7f06e7e4be8e754d3264fd10
shots/tablepro_paper_mono_120x40/png	120x40	mono	paper	46156	38d11aa5100d549aba15d961f0467293fe495bed02f88367f7b2d479b06a2c77
shots/tablepro_junie_truecolor_160x50/png	160x50	truecolor	junie	61211	15c3a3bde9232f4df4d367ae24a1fbac9dd6ff5b5974e8c8c0236fcc8780c055
shots/tablepro_paper_truecolor_160x50/png	160x50	truecolor	paper	64899	b1f502ddc29a3f1f305e51781c56920f5716d680f8beca28fc487852363ff1d1
shots/tablepro_junie_256_160x50/png	160x50	256	junie	61013	be34fc930f788c463572d1e3ece4d1e3c7f893c6785c3464afaab1d5a03a0fbe
shots/tablepro_paper_256_160x50/png	160x50	256	paper	61450	e25c82f3c333940a3953fb164c5d28080f055dfd277d9b53f2c59098aa898ad5
shots/tablepro_junie_16_160x50/png	160x50	16	junie	56111	2277f32cb389dab8e7171b5240a09eab0fce6571ebbabd8ad6af5fa60f45b201
shots/tablepro_paper_16_160x50/png	160x50	16	paper	57165	e33f8e743258fd9a591d600505583f7f31f1724aa25abb5efddd12ec540597aa
shots/tablepro_junie_mono_160x50/png	160x50	mono	junie	48508	6639e2cb5ee5a52089365849f7758111f9a4d7191076cf85658541e5b17a2a04
shots/tablepro_paper_mono_160x50/png	160x50	mono	paper	48942	7f973fae28d861ef3344d52708ac636df530001fe5d5052799a8ef90550e7297
shots/jackin-preview_junie_truecolor_80x24/png	80x24	truecolor	junie	15889	e57a2191f31a18f80fee70a7f70fbf70fe5fe1cbca9774a7bce674bea30e5af4
shots/jackin-preview_paper_truecolor_80x24/png	80x24	truecolor	paper	16544	4bc5ce4afc3652b7c457dccd0f3280eeb9ff624a7e166dcfbfbba41001eba890
shots/jackin-preview_junie_256_80x24/png	80x24	256	junie	15962	a1371228c4f65b2f1db8dadfff74dbf3144ee4c8564028422c264269585ba073
shots/jackin-preview_paper_256_80x24/png	80x24	256	paper	15975	7be6c59b0742341d30c4be6b29381dead4f7fd3aeeb214d72b5427b410d2634b
shots/jackin-preview_junie_16_80x24/png	80x24	16	junie	14096	0cbf5d1596f486c9b2313a1a5cde2c1f1f2ce893bade9b2d548f138d35cb09f0
shots/jackin-preview_paper_16_80x24/png	80x24	16	paper	15723	cc7ed2bd1e5b2f842b6775f203baf0216648841f2f067dedf19759f34164610d
shots/jackin-preview_junie_mono_80x24/png	80x24	mono	junie	14144	c7b260807e47bfe9f05b7c898d351b383cacc7f2e183e6c97b66cd6eca43419f
shots/jackin-preview_paper_mono_80x24/png	80x24	mono	paper	14342	c4d15ef614e1093b163820a9c791b27a1b7ae76ed1e7d6a850d9475b25759f1a
shots/jackin-preview_junie_truecolor_100x30/png	100x30	truecolor	junie	17080	bd15c420d239612854ed6a3f5ab7a9e12d5e3a45f48fdd254bce004748db3f29
shots/jackin-preview_paper_truecolor_100x30/png	100x30	truecolor	paper	17724	08d6978deecef2375c213c1eeb9e707edea5da93334b3eb95c46bd21a074343e
shots/jackin-preview_junie_256_100x30/png	100x30	256	junie	17105	a2af818f755495be2a5bf10e032501bfa934d8d98cc7ff0bbaae76427529402c
shots/jackin-preview_paper_256_100x30/png	100x30	256	paper	17164	9969e0c59d7ccd62deee26f4715e17f9e98d19b40ce4d5d1b7d9b5859b7be004
shots/jackin-preview_junie_16_100x30/png	100x30	16	junie	14891	08078109dad551b471a14be561640c93174ad57723fc4849fdef66cb7c892936
shots/jackin-preview_paper_16_100x30/png	100x30	16	paper	16945	a3d970b0c362d45a1d992d09719ad8c22264bae102d3e9075564e807d4070bee
shots/jackin-preview_junie_mono_100x30/png	100x30	mono	junie	14948	fa72ba60d8305ad1864bfc1dbd7824f52dbedce0c552b89f560fb0f05e933e3c
shots/jackin-preview_paper_mono_100x30/png	100x30	mono	paper	15162	5935793a1bdf5b34f7ec6da26e30df328cb5956b4855e9ce0af25b8e8390d1a4
shots/jackin-preview_junie_truecolor_120x40/png	120x40	truecolor	junie	18632	d976b09dd663620b4dacd3d3100a345866f91c80e0c86aa6d74ad0a7899ce229
shots/jackin-preview_paper_truecolor_120x40/png	120x40	truecolor	paper	19302	0165f800d23f8e020403c50a0658e680b99256ad39f87d583e35de5efa6b446f
shots/jackin-preview_junie_256_120x40/png	120x40	256	junie	18651	ecfb61063572b286d49aff1923b9beb2f286338f0de8932ca544a975f4c88436
shots/jackin-preview_paper_256_120x40/png	120x40	256	paper	18727	fbb591e4527e3ddf64b1385ac1262165f33fe2dec317e83db7a7d0fca048bb56
shots/jackin-preview_junie_16_120x40/png	120x40	16	junie	15918	5cb8bd1e6cbd04b03de69ef9ff404fc8e3a9b1c4ddfff47ae8580f8f148d5e5a
shots/jackin-preview_paper_16_120x40/png	120x40	16	paper	18505	ca8758ead71df45a4fb228b42e152621e499ffe17253e0490d84e1890ecde8f6
shots/jackin-preview_junie_mono_120x40/png	120x40	mono	junie	15959	4d6998be02478b834b93925af61c2dcd1e9c3159f520ba8a691a2e70c4fb6916
shots/jackin-preview_paper_mono_120x40/png	120x40	mono	paper	16176	966202fad3663577f66973312ae589ad084ed8e4622be112c191c0abca0fa598
shots/jackin-preview_junie_truecolor_160x50/png	160x50	truecolor	junie	20658	1589497f718cd0801fa3e5ebfa5c7dd004c189f9c19bdc79de8be673b3b0a20c
shots/jackin-preview_paper_truecolor_160x50/png	160x50	truecolor	paper	21294	21b6f1471306c3edae864732325e3e96423200b2941d5cf56dc676c9eafd4249
shots/jackin-preview_junie_256_160x50/png	160x50	256	junie	20680	a21a5a8572f6713ce2aa4931be0b9749a31052971a526fe93b1be321def70f94
shots/jackin-preview_paper_256_160x50/png	160x50	256	paper	20752	4932a4a22496e90830066ed73c974efb65d60a9de22c39b08aef865578288f59
shots/jackin-preview_junie_16_160x50/png	160x50	16	junie	17756	2bf211f4b44dd4856feb9fbef48c87662abbe2946a139fcb06b60a0f6aa7d3a6
shots/jackin-preview_paper_16_160x50/png	160x50	16	paper	20539	46340934f2cc4b8c89b2897d223de36feaa24e17ad1856f4ac98824ba2eeac71
shots/jackin-preview_junie_mono_160x50/png	160x50	mono	junie	17769	e3b30258aaf1a906d295cc3ce49e33e5254f9a3f4eb6a8c40f6271b516e4caff
shots/jackin-preview_paper_mono_160x50/png	160x50	mono	paper	17991	01b62d034542196f0a7a428d90c5c799e7bd1f3a68fcf75670b8c8e25865c3d3
shots/holla_reference-default_truecolor_80x24/png	80x24	truecolor	reference-default	25169	8e376577134e954c9179cd4d1fe2b0c6e3e0ee9d0dedde065617d2f88c4d1c0d
shots/holla_reference-default_256_80x24/png	80x24	256	reference-default	25336	4b2d1b2c5cc114ac37b2c1021e79369a62093135568237fb5315799edfb35420
shots/holla_reference-default_16_80x24/png	80x24	16	reference-default	25023	aa6ce10c140a2a29beb9317e947313fc62bbe15e7592325bbffd91703ffea0f1
shots/holla_reference-default_mono_80x24/png	80x24	mono	reference-default	20056	c9921e589bdb78f2f47d9b9378ee5b9a5b78ed9bf554bd174ec461d9961ca0e2
shots/holla_reference-default_truecolor_100x30/png	100x30	truecolor	reference-default	28712	62610fea73bbda6cf16fa2137a6a9c64ed92eeb3a99e3a11e138df4b7043e1cc
shots/holla_reference-default_256_100x30/png	100x30	256	reference-default	29022	bb240ebaf6dd340f82b3745a3994d0702869e6ca130332f392f3b7bb85786059
shots/holla_reference-default_16_100x30/png	100x30	16	reference-default	28451	1c785b243bf22f9df2967cd969da9fc46e0d95d7decfd595a1736385aab28753
shots/holla_reference-default_mono_100x30/png	100x30	mono	reference-default	22506	555b350c7d60fb0beaa8a9767a4b610db25aa69652a724064934369824b7808f
shots/holla_reference-default_truecolor_120x40/png	120x40	truecolor	reference-default	30309	357dca805b9519f3c3eecabf68a93bb8bda23d58394c68294acff1252c7491ae
shots/holla_reference-default_256_120x40/png	120x40	256	reference-default	30515	8bdc38b2e60be3c871c4fe6584b691e269c3c5a29e30deee5b0f016ba9f10a40
shots/holla_reference-default_16_120x40/png	120x40	16	reference-default	30093	1df89e3c2b8a4a8d9a6b77cb21488d6effab9b40e34a4fc781058cacccd7d367
shots/holla_reference-default_mono_120x40/png	120x40	mono	reference-default	24014	ae37702a7f554970aa8800e4ecf6a9679baf77ddb9e87c3498feb5919b9eb713
shots/holla_reference-default_truecolor_160x50/png	160x50	truecolor	reference-default	32228	24a2df0c39f184c5908db2e7cbfdeaec51ee0cd76be7959da59a45e8e7cb3c8d
shots/holla_reference-default_256_160x50/png	160x50	256	reference-default	32217	c2c774f60fcb41b0247dddb687b8177c5df0d5845b898ac9776014f67e0dd92a
shots/holla_reference-default_16_160x50/png	160x50	16	reference-default	31862	d1f51f40553f8788509d67a9c80acf6170da41e7f29f9592096b1704112e0c73
shots/holla_reference-default_mono_160x50/png	160x50	mono	reference-default	25997	fe8c1da8f9b756e447ef6565b8413ba939293cc75c41b763fa2b2ee0f677b45c
